collectionName;elementSize;collectionSize;Read/Writes;Insert/Deletes;TotalOperations/Second
std::vector;1;10;100;0;255740683
std::vector_random;1;10;100;0;233214058
std::forward_list;1;10;100;0;239345940
std::forward_list_random;1;10;100;0;206726464
TieredArrayChunkSize2;1;10;100;0;122441730
TieredArrayRandomChunkSize2;1;10;100;0;131512865
TieredArrayChunkSize4;1;10;100;0;122540350
TieredArrayRandomChunkSize4;1;10;100;0;131395352
TieredArrayChunkSize8;1;10;100;0;122466360
TieredArrayRandomChunkSize8;1;10;100;0;131550936
TieredArrayChunkSize16;1;10;100;0;121743390
TieredArrayRandomChunkSize16;1;10;100;0;129115261
UnrolledLinkedListChunkSize8;1;10;100;0;63510760
UnrolledLinkedListRandomChunkSize8;1;10;100;0;60448720
UnrolledLinkedListChunkSize16;1;10;100;0;68571930
UnrolledLinkedListRandomChunkSize16;1;10;100;0;72545260
UnrolledLinkedListChunkSize32;1;10;100;0;69046982
UnrolledLinkedListRandomChunkSize32;1;10;100;0;72509044
std::vector;1;10;99;1;187023644
std::vector_random;1;10;99;1;490864
std::forward_list;1;10;99;1;270810825
std::forward_list_random;1;10;99;1;109705383
TieredArrayChunkSize2;1;10;99;1;88489295
TieredArrayRandomChunkSize2;1;10;99;1;81509219
TieredArrayChunkSize4;1;10;99;1;88710587
TieredArrayRandomChunkSize4;1;10;99;1;82097972
TieredArrayChunkSize8;1;10;99;1;81937655
TieredArrayRandomChunkSize8;1;10;99;1;79391620
TieredArrayChunkSize16;1;10;99;1;81975611
TieredArrayRandomChunkSize16;1;10;99;1;80161400
UnrolledLinkedListChunkSize8;1;10;99;1;57665428
UnrolledLinkedListRandomChunkSize8;1;10;99;1;57992821
UnrolledLinkedListChunkSize16;1;10;99;1;66963610
UnrolledLinkedListRandomChunkSize16;1;10;99;1;64824361
UnrolledLinkedListChunkSize32;1;10;99;1;66938264
UnrolledLinkedListRandomChunkSize32;1;10;99;1;66327823
std::vector;1;10;90;10;94524771
std::vector_random;1;10;90;10;86238074
std::forward_list;1;10;90;10;149975740
std::forward_list_random;1;10;90;10;96738680
TieredArrayChunkSize2;1;10;90;10;73903560
TieredArrayRandomChunkSize2;1;10;90;10;61989675
TieredArrayChunkSize4;1;10;90;10;74248400
TieredArrayRandomChunkSize4;1;10;90;10;63376873
TieredArrayChunkSize8;1;10;90;10;68609180
