Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      626     0.00     0.00  l_alloc
  0.00      0.00     0.00      410     0.00     0.00  luaS_newudata
  0.00      0.00     0.00      318     0.00     0.00  luaS_new
  0.00      0.00     0.00      305     0.00     0.00  luaM_free_
  0.00      0.00     0.00      289     0.00     0.00  luaH_newkey
  0.00      0.00     0.00      285     0.00     0.00  luaM_malloc_
  0.00      0.00     0.00      250     0.00     0.00  luaH_getstr
  0.00      0.00     0.00      249     0.00     0.00  freeobj
  0.00      0.00     0.00      249     0.00     0.00  luaC_newobj
  0.00      0.00     0.00      230     0.00     0.00  luaS_newlstr
  0.00      0.00     0.00      229     0.00     0.00  internshrstr
  0.00      0.00     0.00      216     0.00     0.00  luaS_remove
  0.00      0.00     0.00      214     0.00     0.00  auxsetstr
  0.00      0.00     0.00      203     0.00     0.00  lua_setfield
  0.00      0.00     0.00      197     0.00     0.00  luaH_finishset
  0.00      0.00     0.00      197     0.00     0.00  luaV_finishset
  0.00      0.00     0.00      197     0.00     0.00  reallymarkobject
  0.00      0.00     0.00      166     0.00     0.00  lua_pushcclosure
  0.00      0.00     0.00      109     0.00     0.00  luaH_get
  0.00      0.00     0.00       92     0.00     0.00  luaH_realasize
  0.00      0.00     0.00       67     0.00     0.00  index2value
  0.00      0.00     0.00       66     0.00     0.00  lua_settop
  0.00      0.00     0.00       49     0.00     0.00  luaC_fix
  0.00      0.00     0.00       37     0.00     0.00  lua_pushvalue
  0.00      0.00     0.00       36     0.00     0.00  lua_getfield
  0.00      0.00     0.00       35     0.00     0.00  luaM_realloc_
  0.00      0.00     0.00       34     0.00     0.00  luaH_resize
  0.00      0.00     0.00       32     0.00     0.00  luaO_ceillog2
  0.00      0.00     0.00       28     0.00     0.00  propagatemark
  0.00      0.00     0.00       21     0.00     0.00  lua_pushstring
  0.00      0.00     0.00       20     0.00     0.00  luaH_free
  0.00      0.00     0.00       20     0.00     0.00  luaH_new
  0.00      0.00     0.00       18     0.00     0.00  lua_createtable
  0.00      0.00     0.00       17     0.00     0.00  lua_pushboolean
  0.00      0.00     0.00       15     0.00     0.00  luaD_callnoyield
  0.00      0.00     0.00       15     0.00     0.00  luaD_poscall
  0.00      0.00     0.00       15     0.00     0.00  luaD_precall
  0.00      0.00     0.00       15     0.00     0.00  luaL_setfuncs
  0.00      0.00     0.00       15     0.00     0.00  lua_checkstack
  0.00      0.00     0.00       14     0.00     0.00  luaV_finishget
  0.00      0.00     0.00       13     0.00     0.00  luaL_getsubtable
  0.00      0.00     0.00       11     0.00     0.00  lua_setglobal
  0.00      0.00     0.00       10     0.00     0.00  addstr2buff
  0.00      0.00     0.00       10     0.00     0.00  luaH_getshortstr
  0.00      0.00     0.00       10     0.00     0.00  luaL_checkversion_
  0.00      0.00     0.00       10     0.00     0.00  luaL_requiref
  0.00      0.00     0.00       10     0.00     0.00  lua_callk
  0.00      0.00     0.00       10     0.00     0.00  lua_rotate
  0.00      0.00     0.00       10     0.00     0.00  lua_toboolean
  0.00      0.00     0.00       10     0.00     0.00  lua_touserdata
  0.00      0.00     0.00       10     0.00     0.00  lua_version
  0.00      0.00     0.00        9     0.00     0.00  luaE_setdebt
  0.00      0.00     0.00        9     0.00     0.00  luaL_checkudata
  0.00      0.00     0.00        9     0.00     0.00  luaL_testudata
  0.00      0.00     0.00        9     0.00     0.00  luaV_equalobj
  0.00      0.00     0.00        9     0.00     0.00  lua_getmetatable
  0.00      0.00     0.00        9     0.00     0.00  lua_rawequal
  0.00      0.00     0.00        8     0.00     0.00  luaH_getint
  0.00      0.00     0.00        7     0.00     0.00  luaC_step
  0.00      0.00     0.00        7     0.00     0.00  luaD_rawrunprotected
  0.00      0.00     0.00        7     0.00     0.00  luaF_newCclosure
  0.00      0.00     0.00        6     0.00     0.00  luaH_setint
  0.00      0.00     0.00        6     0.00     0.00  luaT_gettm
  0.00      0.00     0.00        6     0.00     0.00  lua_rawseti
  0.00      0.00     0.00        5     0.00     0.00  luaD_pcall
  0.00      0.00     0.00        5     0.00     0.00  lua_setmetatable
  0.00      0.00     0.00        4     0.00     0.00  GCTM
  0.00      0.00     0.00        4     0.00     0.00  clearbyvalues
  0.00      0.00     0.00        4     0.00     0.00  correctgraylist
  0.00      0.00     0.00        4     0.00     0.00  dothecall
  0.00      0.00     0.00        4     0.00     0.00  luaC_checkfinalizer
  0.00      0.00     0.00        4     0.00     0.00  luaT_gettmbyobj
  0.00      0.00     0.00        4     0.00     0.00  lua_newuserdatauv
  0.00      0.00     0.00        4     0.00     0.00  lua_pushinteger
  0.00      0.00     0.00        3     0.00     0.00  f_gc
  0.00      0.00     0.00        3     0.00     0.00  io_noclose
  0.00      0.00     0.00        3     0.00     0.00  luaL_setmetatable
  0.00      0.00     0.00        3     0.00     0.00  lua_absindex
  0.00      0.00     0.00        3     0.00     0.00  lua_pushnil
  0.00      0.00     0.00        3     0.00     0.00  sweep2old
  0.00      0.00     0.00        2     0.00     0.00  clearbykeys
  0.00      0.00     0.00        2     0.00     0.00  convergeephemerons
  0.00      0.00     0.00        2     0.00     0.00  luaE_extendCI
  0.00      0.00     0.00        2     0.00     0.00  luaO_pushvfstring
  0.00      0.00     0.00        2     0.00     0.00  lua_gc
  0.00      0.00     0.00        2     0.00     0.00  lua_pushfstring
  0.00      0.00     0.00        2     0.00     0.00  lua_pushnumber
  0.00      0.00     0.00        2     0.00     0.00  lua_rawgeti
  0.00      0.00     0.00        2     0.00     0.00  lua_tointegerx
  0.00      0.00     0.00        2     0.00     0.00  pushstr
  0.00      0.00     0.00        2     0.00     0.00  separatetobefnz
  0.00      0.00     0.00        2     0.00     0.00  setpath
  0.00      0.00     0.00        1     0.00     0.00  atomic
  0.00      0.00     0.00        1     0.00     0.00  atomic2gen
  0.00      0.00     0.00        1     0.00     0.00  closepaux
  0.00      0.00     0.00        1     0.00     0.00  entergen
  0.00      0.00     0.00        1     0.00     0.00  enterinc
  0.00      0.00     0.00        1     0.00     0.00  f_call
  0.00      0.00     0.00        1     0.00     0.00  f_luaopen
  0.00      0.00     0.00        1     0.00     0.00  finishgencycle
  0.00      0.00     0.00        1     0.00     0.00  gctm
  0.00      0.00     0.00        1     0.00     0.00  luaC_changemode
  0.00      0.00     0.00        1     0.00     0.00  luaC_freeallobjects
  0.00      0.00     0.00        1     0.00     0.00  luaD_closeprotected
  0.00      0.00     0.00        1     0.00     0.00  luaF_close
  0.00      0.00     0.00        1     0.00     0.00  luaF_closeupval
  0.00      0.00     0.00        1     0.00     0.00  luaH_getn
  0.00      0.00     0.00        1     0.00     0.00  luaL_len
  0.00      0.00     0.00        1     0.00     0.00  luaL_newmetatable
  0.00      0.00     0.00        1     0.00     0.00  luaL_openlibs
  0.00      0.00     0.00        1     0.00     0.00  luaS_clearcache
  0.00      0.00     0.00        1     0.00     0.00  luaS_hash
  0.00      0.00     0.00        1     0.00     0.00  luaS_init
  0.00      0.00     0.00        1     0.00     0.00  luaS_resize
  0.00      0.00     0.00        1     0.00     0.00  luaT_init
  0.00      0.00     0.00        1     0.00     0.00  luaV_objlen
  0.00      0.00     0.00        1     0.00     0.00  luaX_init
  0.00      0.00     0.00        1     0.00     0.00  lua_atpanic
  0.00      0.00     0.00        1     0.00     0.00  lua_len
  0.00      0.00     0.00        1     0.00     0.00  lua_newstate
  0.00      0.00     0.00        1     0.00     0.00  lua_pushlstring
  0.00      0.00     0.00        1     0.00     0.00  lua_setwarnf
  0.00      0.00     0.00        1     0.00     0.00  luaopen_base
  0.00      0.00     0.00        1     0.00     0.00  luaopen_coroutine
  0.00      0.00     0.00        1     0.00     0.00  luaopen_debug
  0.00      0.00     0.00        1     0.00     0.00  luaopen_io
  0.00      0.00     0.00        1     0.00     0.00  luaopen_math
  0.00      0.00     0.00        1     0.00     0.00  luaopen_os
  0.00      0.00     0.00        1     0.00     0.00  luaopen_package
  0.00      0.00     0.00        1     0.00     0.00  luaopen_string
  0.00      0.00     0.00        1     0.00     0.00  luaopen_table
  0.00      0.00     0.00        1     0.00     0.00  luaopen_utf8
  0.00      0.00     0.00        1     0.00     0.00  pmain
  0.00      0.00     0.00        1     0.00     0.00  singlestep
  0.00      0.00     0.00        1     0.00     0.00  stack_init
  0.00      0.00     0.00        1     0.00     0.00  tablerehash

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
